#12 0x55a7ae4b44f7 <unknown>
#13 0x55a7ae506378 <unknown>
#14 0x55a7ae506566 <unknown>
#15 0x55a7ae518777 <unknown>
#16 0x7f3a74c3caa4 <unknown>
#17 0x7f3a74cc9c6c <unknown>

2026-07-30 03:24:53 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): Message: session not created: cannot connect to chrome at 127.0.0.1:46057
from chrome not reachable; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#sessionnotcreatedexception
Stacktrace:
#0 0x56429692783a <unknown>
#1 0x56429629ad80 <unknown>
#2 0x56429628676c <unknown>
#3 0x5642962dfa5e <unknown>
#4 0x5642962d4d6f <unknown>
#5 0x5642963253be <unknown>
#6 0x564296324aac <unknown>
#7 0x5642962e3d32 <unknown>
#8 0x5642962e4bb1 <unknown>
#9 0x5642968ecbc0 <unknown>
#10 0x5642968eb23a <unknown>
#11 0x5642968d5c65 <unknown>
#12 0x5642968ebefa <unknown>
#13 0x5642968bdb60 <unknown>
#14 0x564296913218 <unknown>
#15 0x5642969133b5 <unknown>
#16 0x5642969263ee <unknown>
#17 0x7fd955b89609 start_thread

2026-07-30 03:24:54 | WARNING | crawler.browser | Failed to start Chrome (undetected=False): Message: session not created: Chrome instance exited. Examine ChromeDriver verbose log to determine the cause.; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#sessionnotcreatedexception
Stacktrace:
#0 0x563429e4ac0a <unknown>
#1 0x56342983f649 <unknown>
#2 0x56342987d3dc <unknown>
#3 0x563429879f83 <unknown>
#4 0x5634298c87d2 <unknown>
#5 0x5634298c7f2c <unknown>
#6 0x5634298876d9 <unknown>
#7 0x5634298884f1 <unknown>
#8 0x563429e105db <unknown>
#9 0x563429e0f2e4 <unknown>
#10 0x563429dfb974 <unknown>
#11 0x563429e0fa82 <unknown>
#12 0x563429de54f7 <unknown>
#13 0x563429e37378 <unknown>
#14 0x563429e37566 <unknown>
#15 0x563429e49777 <unknown>
#16 0x7fdf958f9aa4 <unknown>
#17 0x7fdf95986c6c <unknown>

2026-07-30 03:25:57 | WARNING | crawler.browser | Failed to start Chrome (undetected=True): Message: session not created: cannot connect to chrome at 127.0.0.1:50521
from chrome not reachable; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#sessionnotcreatedexception
Stacktrace:
#0 0x556b178b683a <unknown>
#1 0x556b17229d80 <unknown>
#2 0x556b1721576c <unknown>
#3 0x556b1726ea5e <unknown>
#4 0x556b17263d6f <unknown>
#5 0x556b172b43be <unknown>
#6 0x556b172b3aac <unknown>
#7 0x556b17272d32 <unknown>
#8 0x556b17273bb1 <unknown>
#9 0x556b1787bbc0 <unknown>
